,Unnamed: 0,Reviews,actionable_value
10,10,"Wait staff was very helpful and kind. Unfortunately the food was generic and not prepared well enough. There was nothing special or memorable about neither the food nor the drinks. It's hard to say all this about a place where the staff was SO friendly, but the food and drinks were LESS desirable than a typical restaurant. The best food was the two sides ordered. I expected much more originality. Especially from the cocktail menu (even Chili's has their own signature cocktails, why not Dal Rae?). $200 for 2 is better spent elsewhere, like The Cellar in Fullerton.

Food ordered:
Cesar salad for 2
Filet Mignon w/ rice pilaf
Pork Chop w/ mashed potatoes
Drinks ordered:
Dark 'n' Stormy (hard to mess up this classic drink but somehow it was not good)
Cucumber lime Martini",0
11,11,"It took1 hour for them to take our order 
And we hardly saw our waiter",1
12,12,"Food wasnât the best, service was the worst.. not attentive at all",1
13,13,Terrible experience from start to finish  outback quality,1
14,14,"We had the Dine LA lunch and the food was terrible ,

Calamari was cold and not crisp, Wedge Salad was all Dressing and hardly any lettuce
Fish was tasteless and the only thing good was our server, She was supper funny and 
nice",0
15,15,LOBSTER THERMIDOR SINCE THEY LOST THEIR KEY CHEF IS HORRIBLE THE LAST TWO TIMES I HAVE GONE!!!! Have gone all my life over 50 years. Will not be returning as it was that bad and soup was cold! Unfortunate as management does t really care either,1
16,16,"Made the mistake dining close to closing time - baked potatoes were old, error on order.  Ordered filet mignon, server brought out filet mignon with pepper sauce.  They took back the plate, removed the sauce, placed on the grill and sent back.  It was full of pepper......  Sent back to the kitchen.

(1) Should never have ""cleaned up' the filet mignon.  Should not have been done in the first place.  
(2) Should not serve old food that is reheated, especially a baked potato.

Disappointing.... which begs the question.... did they think our party didn't know any better????????????",0
17,17,"I've eaten at Dal  Rae before and enjoyed it.  This visit was a huge disappointment.  I was with a party of seven friends celebrating our yearly  gift exchange.  It's always a fun time.  However, this dinner was so miserable everyone couldn't wait to leave.  They placed our table near an open side door.  As we were sitting down, we all immediately complained that it was very cold.  The hostess explained that they had to leave the door open because they were serving on the patio.  She went on to explain that the heater placed was placed near the door to keep us warm.   As the restaurant was full, we accepted it.  The heater did nothing to warm the interior of the restaurant near our table.  We got colder.  By the end of the night, we were all popsicles.  Half of our food was cold the other half lukewarm.  We waited 1 1/2 hours for our food to arrive.  We were so cold and fed up that most of the food was packed to go. Our repeated complaints went ignored until it was time to go.  The manager offered to take care of it on our bill.  His idea of taking care of it was reducing our bill by about 30%.   This is an event that my friends and I look forward to every year for the past 10 years especially since we were unable to get together in person last year.  We were so disappointed...  We will definitely not take our event to Dal Rae again. The reduction in the bill, in no way made up for the numb feet and hands while sitting at a dinner table zipped up to our necks in coats. Or how our waiter and hostess tried to pretend we weren't freezing. That they were so busy that they did not offer another table or that our food, when it finally came was cold.",0
18,18,Absolutely the worst steak Iâve ever hadâ¦everâ¦dry and over cookedâ¦the management made it right by taking it off our bill but still it wasnât goodâ¦the lobster bisque was overly salty and salt is my favorite condiment so thatâs saying a lot!,1
19,19,Second time main hostess was rude ruined my friends birthday! So much for making reservations there !!  We were long time loyal customers know weâre never going back!! Thank goodness for steak ân Stein it save the night,0
20,20,The service was good but we had to send back our drinks because they were so bad. All of our meals with steak were cooked incorrectly and unevenly so we ended up having to trade amongst ourselves at the table. Overall disappointing as the food here used to be consistently good.,0
21,21,Food was awful and cold! Cesar salad was brown. I will never return.,1
22,22,"I've eaten at this restaurant on many occasions, but this past time I was not impressed with the food and service, our food was wrong and it was cold, from the time we sat down to the time we finished our dinner it was 3 frustrating hours, I understand we're going through some rough times with Covid-19, but if we're trying to help our local restaurants I feel that they should be putting a little more effort to please the customers.   
Would I come back? Probably.
Will I recommend this place to a friend? Yes, with a warning.",0
23,23,"Service was terrible. Our first time there, will not be back. We were brought out a try of sorry looking veggies, presentation could have been so much better. They could have also been fresher they looked all wilted. I don't mine paying for a good meal, but disappointed with food & for the price of the food I expect great service.",0
24,24,People should leave their kidâs at home.,1
25,25,The receptionist in the front lobby  was totally uptight took me to a different place I came here to enjoy and take my mind off of what going on in life.. Thank God she was not our waitress.,1
26,26,"We go here every year, I donât think anyone wanted to complain but when we left we realized we all had the same experience, cold food, the crab legs were dry and cold, my moms prime rib was cold, the soup was cold, and it took an hour to even get an appetizer order in. It ruined our evening, my mom even came home sick. Iâm not used to this and I will be contacting the manager tomorrow. Everyone was busy and overwhelmed last night. I couldnât here myself talk over the music so I figured I would reach out to management on a different day. Super disappointed",0
27,27,"First time there, heard so much about this place. The place looks run down, the sign said proper attire but you had people dressing like they are going to Walmart; jeans, flannels, soccer jerseys, so donât expect the people to respect the rules nor is it enforced. The bar was packed, so we waited outside and thereâs just no ambiance. Got seated, and the relish plate to cleanse your palette is disgusting, the bread served with it was cold. Our server was polite and delightful but she didnât tell us about any specials, she delivered us a cheese bread ( probably because she forgot to give us proper introductions). The place is SO LOUD and not romantic, too many tables jammed in that the waiters can pass by with plates or proper tableside. Our food was okay, the petit filet should have been ordered with the pepper sauce, it overpowered the taste of the steak; which was cooked perfect. Husbands dish was also very good, wine pairings were available to match the sauces. I wonât be back, it was just too overpriced for a good steak that I can elsewhere and with better ambiance and dinner selections.",0
28,28,"Food was ok,",1
29,29,"What a costly disappointment.  First comes the traditional relish tray with mostly ice and a few sparse not-so-fresh items.  Then the cheese bread tasting oily.  ""There are three different guys in the kitchen making it and they all think they have the best wayt!""  - our waitress.   Stick to your old formula!  Then the Caesar was NOT made tableside (SO disappointing).  The lobster tail was so average ($82.00).  The big prime rib ($60.00) ordered ""medium"" had no pink and was NOT tender.  What has happened?  So expensive and everything was not up to their standard.  Not sure if I will take the chance again.  It is a shame that they would allow this.  They seem to overbook and it steals from the ambiance.  We spent a fortune for a meal and it was a huge disappointment.  Also, we got there early...there was a sign for the valet price...when we left to get our car the price had gone up!!  And this is the second time we have been in the lounge and the Latina bartender could not smile and be cordial.  An attitude like you were interrupting her-the big boss-couldn't be bothered.  Just rude.",0
30,30,"Service was horrible, food took 1.5 hours to be served with a reservation. Was celebrating a 50th birthday and not once did the waitress acknowledge this. Informed manager he offered free dessert which was communicated by another employee who approached us while waiting on the valet. Dal Rae was my favorite restaurant they will not be going forward. Horrible experience!",0
31,31,Food prices are very high mediocre food and below service average.,1
32,32,"Horrible experience from beginning to end.  Food was so so, and service is unbelievable.  We went for lunch with a reservation.  We felt neglected from the moment we stepped in.  No courtesy when they spoke to us, and never checked in on us even when the place was only half full.  We had to ask twice for more drink.  We had to look around for 10 minutes asking for a to-go box and the check.  When we left, no one even bothered to say thank you or goodbye.  I felt like I owe them a million bucks.  It's beyond me.  Never again!",0
33,33,My experience was very poor my girlfriend and I went to have dinner she did not like the sauce on her veal. We asked our waitress to take it back when they returned a new plate without the sauce it was the same veal beyhadh you scrape the sauce off of it we asked the waitress if it was the same one she said no she recanted and said it was the manager then came and stated that they had scraped off the sauce but it was the same veal. A $40 dish and the only complimented us dessert. The that type of Steakhouse that is supposed to be they do not have scraped off the sauce. It was a a very bad experience,0
34,34,"Weâve been coming here since I was in high school, and this by far was the WORST experience ever! Yes, I understand it was New Years Eve, BUT our server was honestly awful. Our table next to us who was sat after us, received their bread, drinks and salads before we even got our first drinks and water, and then when our salads finally came our server had our order wrong. We were sat next to the thermostat and another server squeezed her way in between our table to change the temperature and her butt was literally on our table for what seemed forever and not one excuse me or pardon me like are you kidding me !!??! Thatâs soo awful! Our server never checked in on us, our plates were piling on our table never cleared. That table next to us even had desert before our entrees came out. Honestly this was just an awful way to ring in the New Years,  never again.",0
35,35,"When we made the reservation on open table, we indicated that it was for our anniversary.  In the past, we were seated in the better lit section of the restaurant and a complimentary dessert was given to us.  This time, we were seated in the ""holiday"" section where it was difficult getting in and out of booth.  There wasn't anything festive about the atmosphere.  The waitstaff did not engage us.  Never did they ask if we were celebrating a special occasion.  We were actually celebrating, not only our 29th anniversary, but our son's first job.
It took a long time to bring the food.  The salad was good, but the entrees did not come out at room temperature...as if it had been sitting awhile.

We've always loved celebrating at Dal Rae's in the past, but this experience will send us looking elsewhere next year",0
36,36,"We have come here many times over the years. This was our first time back in about two years. The food was average however the service and noise level was absolutely unacceptable. I understand that everyone can have a bad night however this was much more than that. The only good thing that occurred was we ran into a server from another one of our favorite restaurants. Very sad situation this was an iconic establishment at one time, I don't believe my wife and I will return. I can be reached at 562 696-1209 
                                                                                                                      Sincerely, Steve & Colette, Sbelgio",1
37,37,"Restaurant was busy, but our reserved table was waiting for us upon arrival.
I noted on our reservation that this was an ""Anniversary"" dinner and the waiter immediately wished us a Happy Anniversary after introducing himself.
Service was very attentive, and there was no time pressure.  Dinner proceeded through the courses at our pace.",0
38,38,"We took a little time before we order because we were involved in our business meeting.  Unbeknownst to me this irritated our waiter. Then when we did order the food never came.  I ordered a club sandwich nothing difficult nothing shouldâve taken too much time but our waiter apparently prioritized all his other customers before ours and 45 minutes later still no food.  Then I got a call for a family emergency so I had to leave and of course I couldnât find our waiter for the next five minutes. But when you have to go five minutes seems like an eternity. Finally I tracked him down at another table to tell him that I am leaving and to cancel my order.  The Waiter looked at me very angrily and said what are you talking about.  I said itâs been 45 minutes since I ordered and now I have to go so cancel my order.  Then this waiter got all upset and started arguing with me saying that we took too long to order.  I told him Iâm not gonna argue with you Iâm leaving and I left. By the way, I made a reservation through open table at 5:30 but wasnât seated till 5:45, get this, because the waiter wasnât ready.  Probably the worst experience Iâve ever had at a fancy restaurant .",0
39,39,"We have been coming to the Dal Rae for twenty years. We went 6/25/18 for our wedding anniversary with a party of 5 at 6:30pm. Our server Monica was very flustered and difficult to understand. When our salads came out to be prepped at the same time as the table next to us, she actually asked if she could give us their salad dressing because she accidentally put egg in it-instead if making us a fresh salad. Then she proceeded to give us the incorrect salad order for myself and my husband. The garlic cheese bread that we usually love was hard and chewy and cold. Monica was very confused by our entree orders and had to come back twice to verify specifics. When the entrees arrived, my motherâs salmon was over cooked and cold. My fatherâs ribeye, which he orders every time we come, was unseasoned and disappointing. My husbandâs prime rib was so undercooked and rare (he ordered medium-well, he could not eat it and had to send it back. It took 15 minutes for Monica to bring it back. My crab legs were fine, but the side of creamed corn I ordered came out significantly later than my crab. We were so excited to spend our anniversary at the Dal Rae. We left feeling like everything was an issue and that we were not important guests. There was a table next to us that a Congressman who was sitting at it and it seemed as if they were getting extra special attention and we were ignored. Sadly, we will not be going back to the Dal. It was a very expensive dinner that was average at best.",0
40,40,I hated the chicken picatta it was super sour acid,0
41,41,"Very disappointed! Had a 8:30 p.m. reservation, but we got there @ 7:00 p.m. And got some drinks at the bar(Caddilac Margueritas, and fine wine.)  Checked in @ 8:20 p.m. was Sat a little later.  From there on everything went sour.  First they didn't ask if we had any preference where we would like to sit (we would of stood at the bar to wait to be seated  at our preference) they took us straight to the outside where there was no music, then it started to get worse, it took 1/2hr. (Literally) to get any drinks. Plus to make things worse we didn't get our food till 9:40p.m. if I knew the food was going to take this long, my wife and I would have not ordered The Ribeye and Lobster.  Then they bring the bill. $460.00 dollars + tip($500.00 bill). I went to Dal Rae for high end service. The only thing I received that night was high end, was a high end check.",0
42,42,"I have heard so much about this place but have never been.  So I made early dinner reservations on Valentineâs Day.  My personal opinion is that it is way overrated.  My wife and I have been to many nice restaurants, but this isnât one of them.  Place is rather worn down but has a rather snobby attitude about it.  Waitress had no knowledge of the wines they offered.  I ordered the filet mignon peppersteak which they are supposed to be famous for, medium rare.  My wife ordered the ribeye cooked medium.  My filet came out medium well and hers came out medium rare.  We informed the waitress, and all she said was âdid you like it?  Iâll make sure and tell the kitchenâ.  That was it, no attempt to make it right in any way.  Iâm not one to make a scene or ask for management to come talk to me, so we just left, $320+ dinner for 2 disappointment .  Never will return.  We enjoyed our bottle of Barolo, but that was about it.",0
43,43,"We live in Orange County, but the Dal Rae is our favorite restaurant. It has been for 25 years. There food is the best. Bar none.",1
44,44,"We have been going to Dal Rae for over forty years during the Holidays, but this year the service was extremely disappointing (2o minutes to get a menu for our group) and some of the food was not up to the usual fine quality!",0
45,45,"I am a frequent customer to Dal Rae but I can tell you that If this were my first time, I'd NEVER go Back. The service was Terrible, The Server was Terrible and the food was not as I ordered it. VERY DISAPPOINTING. The server actually seemed upset when I sent the food back. As I mentioned I am a Regular at Dal Rae and I'm sure ill be back but I can honestly say This visit was the Worst Experience was THE WORST. I've had better at Denny's. I don't know waiters name or I'd put him on blast but I do know if I ever get him again I'll quickly asked to be moved from his section. Not what I expect from Dal Rae",0
46,46,"I had planned for a dinner at Dal Rae with my spouse with a reservations for 5:00 pm. I arrived on time expecting to be seated shortly as the hostess indicated that it would be a few minutes to be seated. As I stepped away from the podium another customer approached the hostess and was clearly upset that they had arrived 15 minutes early for their 5:00 pm reservations and had to wait an additional 15 minutes for a table. The hostess replied that the restaurant had seated 150 people at 4:00pm and there would be a wait and she could not provide an estimated time when she could seat them. As time elapsed approximately 40 minutes after we arrived, we inquired about the status of our reservation and were told that our table was still not ready and there were still another 3 couples ahead of us. This was too much for me and we left the restaurant. I do not understand the point of making the reservation at this restaurant if they do not intended on honoring the reservation. When I make a reservation and arrive on time for it, I expected not to wait an unreasonable period of time as this restaurant did. I am positive that if I had been late equal to the amount of time we waited, the restaurant would not have kept our reservation open. There is no excuse for the restaurantâs management to make a customer wait for their reservation due to the restaurants lack of forethought for seating 150 guests at one time and how it would affect the customers later in the evening. There are plenty of good restaurants in the area that will keep their reservations. To add insult to injury the restaurant reported to Open table that we were a no show. The restaurant lost a valuable customer over this issue.",0
47,47,"I was dissapointed for the price way too expensive. I spent  $130.00 for lunch 2 chicken lunches and the drinks were almost  $20 each. Nothing special.about this place. 
I could have gone to Ruth Christ and had a wonderful lunch for less money. I would not recommend  this place  to anybody. Go to Roys , or The Palm , Flemings ,Mastros the chicken was like having Kentucky fried chicken . Thumbs downð",1
48,48,"My family was highly disappointed ..  seated in patio when we asked the female manager to be seated indoors we were told there was no tables available.  So we left , as we exited there were quite a few tables available !!  Then the valet drove my Bmw (white) to the front door and stated he did not have my key ( how did he get the car to start ??). My husband stated I gave you the key when you gave me the ticket .. your valet stated "" don't lie you didn't give me the key these cars don't need a key to drive "".  My son then asked the gentleman can you please check your pockets which he did and there was the key. He inferred my husband was a liar. Not cool or professional  ..  this is my review which was also yelped.",0
49,49,"I have been going to dal Rae since 1970 and I have never seen go downhill so fast
Service was terrible.We had to help ourselves for our wines.We went at 8.30 and dinner was served at 11.The Maine lobster which was the signature dish has been replaced with Australian lobster.My bill was 1200 dols and it was money wasted.Unfortunately this will be my last visit",0
50,50,"Server left us unattended for over 30 minutes. Food was ugly and over priced for a run downed establishment. Did not like it before thought I'd give it another shot, still wasn't any good.",0
51,51,Always outstanding!  One of the finest restaurants in southern California.,1
52,52,"We had high hopes given other reviews. We were hoping this would be a new favorite/ regular place for us - but it was a disaster from the start. We had an 8:00 reservation, but wasn't seated until 8:30. That is ok, availability is dependent upon patrons generally- but after we were seated and it took 10 minutes to see our waiter, we suspected something was up. The waiter came and took our drink order, and we also ordered the artichoke crab appetizer. 10 minutes later, the waiter returns with our drinks (he didn't know what a dark and stormy was, I had to explain it, and what he brought had light rum not spiced dark rum and was $14),  and told us the specials and asked if we wanted to order an appetizer. Another red flag. We reminded him we ordered the appetizer when we ordered drinks. He hadn't put it in. He apologized and went and put it in. We didn't see our waiter again for 15 minutes (dinner order not yet taken) and he asks what we want for our main dish. We order, including a side. 10 more minutes pass and the appetizer arrives (finally) and the dish is mediocre and not overly hot given it must have sat a while. 25 more minutes pass, and our meals arrive - minus the side we ordered. After putting our dishes down he asks if he can do anything else. I ask about the side, which he obviously forgot, and he says it was up and he would go get it (note a small side of mushrooms and his tray was 45% empty). Out of frustration at the poor service my wife cancelled the side, the waiter was confused and kept pushing that he will bring it, and she insisted that he cancel it. He goes away, comes back with the mushrooms muttering (I'm not kidding) that he doesn't want them to go to waste and he will take it off the bill. All of that for mushrooms that were unremarkable at best. We never saw the waiter again - another waiter in the area was available for getting us boxes and eventually the bill. The steak was good, the cold bread and frozen slab of butter, was not good.",0
53,53,Didn't have a chance to eat. I drove 2 hours to the resturant just to find out it was closed. Honestly it would have been nice to know prior to the drive.,1
54,54,Not recommended  for Valentine's day any other day yes but valentine's day only about 10 dishes to choose from  and they set the price and the amount of food  is a combination  80.00 per person when I don't want to eat the rest of the food and can't  buy just the main dish.  And I can't get the plate I like because is not on the menu that day???? Not good for Valentine's day....ask before received.,0
55,55,"Most of the staff was rude and not willing to help you(actually the lady working valet was really nice)but the rest of the staff made you feel as if they are doing you the biggest favor.  The hostess had the worse attitude. They took us 40 minutes after my reservation time and she was they one giving me attitude.... I was sorry for asking for the pager she had just asked me to come back for since there was none available when I checked in... it just seemed like they way over booked. Then the food... the table side Caeser salad was probably the best I've ever had but it was ruined by the fact that one, we didn't get the table side service they just brought us the plate of salad and two, the waitress was pretty much bothered that we were breathing the same air. I also got the chateubriand for two. So would I come back...nope. I feel cheated. It's not cheap to come here and I feel as if this restaurant cheated me from what was supposed to be my 25th birthday dinner. They food was good but not good enough for me to deal with the big personalities they have working for them. Seriously that hostess is so incredibly rude.",0
56,56,"Service was poor. The host pointed to our table but did not seat us. People kept bumping into our table while walking passed due to a large party seated near us. Food lacked seasoning and meat was overcooked. Out of some steaks. We were looking forward to a fine dining experience, however we were underwhelmed. Not worth the trip.",0
57,57,"Normally a favorite place for special occasions- we come several times a year and usually bring family. Tonight the banquet manager evidently thought having a group of cigar aficionados was OK if they were on an adjoining patio. Every time the door opened- which was frequent on a Friday night, the smell of cigar smoke washed over our anniversary dinner.  I am so disappointed that our special night out smelled like the bottom of an ashtray.",0
58,58,"We waited 20 minutes just to get our bread and Our food took over an hour.  Prime rib, roasted rack of lamb and even rice pilaf came in luke warm. Waiter never apologized.  We have to tell the waiter three times to get a birthday cake for our friend.  Awful service.",0
59,59,Great food and service...Heidi is the best server.,1
60,60,"From the moment we walked in it was a bad experience. The hostess didn't say hello, she said what can we do for you, in a tone that didn't make us feel welcomed.  when we informed we had reservations she warmed up a little.  This place is old and tired and everyone had the energy of not caring from top to bottom.  The service was horrible, was not given a wine list, so I asked our server for a glass of pinot noir, she dropped it off never explaining anything about the vintage or brand, still don't know what I drank, later was served prime rib with no Au Jus sauce, the food was mediocre, and it just seemed liked nobody cared, complete waste of $200, will not go back",0
61,61,"Usually love the Del Rae, unfortunately on this visit it took 2 hours from ordering to get our food. Being New Years, we were not served our food til after midnight",1
62,62,"We had a terrible experience. First we got there few minutes before our reservation and we were sitting down on the outside waiting area and one of the guys from the restaurant came and took our chairs because he said they  needed them. Did not offered to sit and wait somewhere else or apologized. After, we got  seated way after our reservation time (25 mins or so) We had to ask the waiter for the food menus as she had forgotten to bring them to us. We ordered our food and boy that took a long time, if you are hungry this isn't the place to visit. It took them over an hour after we order our meals before they can serve us. By this time we were frustrated and ready to go, can't say I'll recommend or ever be going back. For the price of the meals  you are better off treating your self to a nice dinner in an elegant place in Beverly Hills. This place was not organized when it came to attending people from the minute you arrive to the minute you are served. I don't paying high prices for my meals, but one thing i can't stand is poor service. Seems like they have frequent visitors that get better service, as long as they are not new faces. I would not recommend this place at all.",0
63,63,Was seated at a table with another couple just because I asked for an earlier reservation.  I was so hungry I just dealt with it.  But unexceptable for the price we paid for the food. Hostess was rude and so was the waiter.,1
64,64,"We were very disappointed. We were here a couple months ago and thought the poor food and service was a fluke. Now a second time of the same. Overcooked calamari, veal chop half fat literally,  server completely distracted and forgetful. Been coming here for 40 years since I was a kid. We won't be back.",0
65,65,"the seafood is excellent at Dal Rae; try the sea bass or halibut, outstanding.  My dining companion loves the ahi tuna appetizer and pepper steak.  I don't think I've ever regretted anything I've ordered at Dal Rae!",0
66,66,"Reviews are good...3 days later we still cannot figure out why. Morton's prices but Waffle House quality. Nice server, but not experienced and professional.

Food was unbelievably not good. Salads with marinara sauce as dressing? Appetizer list was caviar, then teriyaki beef tips? Sandwiches, veal schnitzel, spaghetti, steaks...besides being all over the place the food was yucky. Lobster smelled fishy and tasted of cinnamon, even though we were told there was no cinnamon used in the dish. Filet had an old off taste, no one could finish our food.

Summary: not a positive thing to say about this place, steer clear.",0
67,67,Have been going to the Dal Rae for years. However last night had to be the worst. Had a 6:00 p.m. reservation and had to wait until 7:00 p.m. to be seated. Place was crowded and staff kept making excuses the it was so busy due to a Dine in L.A. evening. Food and presentation was very poor. Waitress kept apologizing for the long wait. Not a good night.,0
68,68,The manager called my at 9:00 of the night of our 9:30 reservation to tell us we better be on time as it was a holiday weekend and the chefs were tired and leaving at 9:30. Needless to say customer service is not their pimary goal.,0
69,69,"got there 10min early and still waited for 25min and there was a family that didn't have a reservation, he was told an hour wait but was sitted right behind us, the took there order first and drinks. when the took our order they didn't told us about not having prime rib. the other table got their order and we still waited, finally told us that they were out of prime rib we the waited for another hour before it was the worst service we ever got.",1
70,70,"I was very disappointed in my last visit to Dal Rae. Not only were they out of the entree that I specifically went there for, the service was horrible! it took forever just to get a drink and even longer to get my bill taken care of. I probably won't be going again unless someone gives me a gift card.",0
71,71,"will never go again. Steak tar tar shoved on a plate like a raw hamburger patty they forgot to mold, or add spices to or even realize how it should be served.",1
72,72,"Been going to Dal Rae for many years. Had the WORST meals on this visit. Double pork chop dry; steak Diane not made the same way Loren or the other Matre D's make it. Took 30 minutes to get a cocktail and had to ask for our menus. This was not the typical experience for Dal Rae. Must have something to do with the holidays? You can usually count on a great dining experience here (great food, excellent service and nice atmosphere) - we were extremely disappointed we did not get that during this visit.",0
73,73,"I will never go back there again during the holidays, my visit was 12/23/2010 7PM, we were packed in like sardines in a can, the waitress was not hearing half of what I had sppken to her and the food was not to the high standard of which normally Del Rae's serves. Not to forget to mention the 45 minute wait for our dinner. For the evening it was high priced and the service and the food were a slight bit better then Sizzler, though Sizzler would have been less nosiy and crowded..",1
74,74,"Although we have dined numerous times at the Dal Rae, we walked out of the restaurant on Saturday December 19 without eating. We had a reservation and waited 25 minutes for a table. During the 25 minute wait, we sat in the bar area and were never approached by a server. We were seated and then waited a long time for a waiter/waitress to say hello. The restaurant was packed to the rafters with holiday revelers and it appeared they had oversold the place for the evening. It was loud and freezing cold under the blasting air-conditioning. The tables had been so tightly packed there could not have been a way for the crowd to legally exit the establishment if needed. The waiters certainly could not properly service the tables...",0
75,75,"We had terrible service and wrote a note on the bill, hope they read it.  We were there Sunday night 4/20/08 8PM.  This is an expensive restaurant and for the service we got we will not be coming back again.  Our waitress was terrible!!!  I hope the owner reads this.",1
76,76,"Didn't get a warm fuzzy from the hostess.  Must have had a bad day.  Then a server dropped a glass cocktail in the front lobby where everyone was standing.  Red drink got on three people's clothing but no apology from anybody from the restaurant.  We choose not to make scene but details like that make it extremely doubtful we will ever come back.  The food was just ok.  Saltiness does not equate to flavor.  Lettuce wedge salad was abominable, dressing tasted like mayonnaise and not blue cheese.  We thought this was going to be Great  dinner.  The four of us were wrong.",0
